PROVINCIA;FECHA;CASOS;FALLECIDOS;recuperados;descartados epidemiologia;test negativos;test totales
Buenos Aires;3/3/2020;0;;;;;
Catamarca;3/3/2020;0;;;;;
Chaco;3/3/2020;0;;;;;
Chubut;3/3/2020;0;;;;;
Ciudad de Buenos Aires;3/3/2020;1;;;;;
Córdoba;3/3/2020;0;;;;;
Corrientes;3/3/2020;0;;;;;
Entre Ríos;3/3/2020;0;;;;;
Jujuy;3/3/2020;0;;;;;
La Pampa;3/3/2020;0;;;;;
La Rioja;3/3/2020;0;;;;;
Mendoza;3/3/2020;0;;;;;
Misiones;3/3/2020;0;;;;;
Neuquén;3/3/2020;0;;;;;
Río Negro;3/3/2020;0;;;;;
Salta;3/3/2020;0;;;;;
San Juan;3/3/2020;0;;;;;
San Luis;3/3/2020;0;;;;;
Santa Cruz;3/3/2020;0;;;;;
Santa Fe;3/3/2020;0;;;;;
Santiago del Estero;3/3/2020;0;;;;;
Tierra del Fuego;3/3/2020;0;;;;;
Tucumán;3/3/2020;0;;;;;
Buenos Aires;4/3/2020;0;;;;;
Catamarca;4/3/2020;0;;;;;
Chaco;4/3/2020;0;;;;;
Chubut;4/3/2020;0;;;;;
Ciudad de Buenos Aires;4/3/2020;0;;;;;
Córdoba;4/3/2020;0;;;;;
Corrientes;4/3/2020;0;;;;;
Entre Ríos;4/3/2020;0;;;;;
Jujuy;4/3/2020;0;;;;;
La Pampa;4/3/2020;0;;;;;
La Rioja;4/3/2020;0;;;;;
Mendoza;4/3/2020;0;;;;;
Misiones;4/3/2020;0;;;;;
Neuquén;4/3/2020;0;;;;;
Río Negro;4/3/2020;0;;;;;
Salta;4/3/2020;0;;;;;
San Juan;4/3/2020;0;;;;;
San Luis;4/3/2020;0;;;;;
Santa Cruz;4/3/2020;0;;;;;
Santa Fe;4/3/2020;0;;;;;
Santiago del Estero;4/3/2020;0;;;;;
Tierra del Fuego;4/3/2020;0;;;;;
Tucumán;4/3/2020;0;;;;;
Buenos Aires;5/3/2020;0;;;;;
Catamarca;5/3/2020;0;;;;;
Chaco;5/3/2020;0;;;;;
Chubut;5/3/2020;0;;;;;
Ciudad de Buenos Aires;5/3/2020;1;;;;;
Córdoba;5/3/2020;0;;;;;
Corrientes;5/3/2020;0;;;;;
Entre Ríos;5/3/2020;0;;;;;
Jujuy;5/3/2020;0;;;;;
La Pampa;5/3/2020;0;;;;;
La Rioja;5/3/2020;0;;;;;
Mendoza;5/3/2020;0;;;;;
Misiones;5/3/2020;0;;;;;
Neuquén;5/3/2020;0;;;;;
Río Negro;5/3/2020;0;;;;;
Salta;5/3/2020;0;;;;;
San Juan;5/3/2020;0;;;;;
San Luis;5/3/2020;0;;;;;
Santa Cruz;5/3/2020;0;;;;;
Santa Fe;5/3/2020;0;;;;;
Santiago del Estero;5/3/2020;0;;;;;
Tierra del Fuego;5/3/2020;0;;;;;
Tucumán;5/3/2020;0;;;;;
Buenos Aires;6/3/2020;1;;;;;
Catamarca;6/3/2020;0;;;;;
Chaco;6/3/2020;0;;;;;
Chubut;6/3/2020;0;;;;;
Ciudad de Buenos Aires;6/3/2020;4;;;;;
Córdoba;6/3/2020;1;;;;;
Corrientes;6/3/2020;0;;;;;
Entre Ríos;6/3/2020;0;;;;;
Jujuy;6/3/2020;0;;;;;
La Pampa;6/3/2020;0;;;;;
La Rioja;6/3/2020;0;;;;;
Mendoza;6/3/2020;0;;;;;
Misiones;6/3/2020;0;;;;;
Neuquén;6/3/2020;0;;;;;
Río Negro;6/3/2020;0;;;;;
Salta;6/3/2020;0;;;;;
San Juan;6/3/2020;0;;;;;
San Luis;6/3/2020;0;;;;;
Santa Cruz;6/3/2020;0;;;;;
Santa Fe;6/3/2020;0;;;;;
Santiago del Estero;6/3/2020;0;;;;;
Tierra del Fuego;6/3/2020;0;;;;;
Tucumán;6/3/2020;0;;;;;
Buenos Aires;7/3/2020;0;;;;;
Catamarca;7/3/2020;0;;;;;
Chaco;7/3/2020;0;;;;;
