PROVINCIA;Departamento;Localidad;FECHA;CONFIRMADOS;RECUPERADOS;FALLECIDOS;INTERNADOS;UTI;EN ESTUDIO;AISLADOS;ESTUDIADOS;DESCARTADOS
Santa Fe;TOTAL;;29/4/2020;243;136;2;;;;;;
Santa Fe;BELGRANO;Armstrong;29/4/2020;2;;;;;;;;
Santa Fe;BELGRANO;Las Parejas;29/4/2020;1;;;;;;;;
Santa Fe;BELGRANO;Las Rosas;29/4/2020;1;;;;;;;;
Santa Fe;CASEROS;Casilda;29/4/2020;2;;;;;;;;
Santa Fe;CASEROS;Chabas;29/4/2020;1;;;;;;;;
Santa Fe;CASTELLANOS;Rafaela;29/4/2020;21;;;;;;;;
Santa Fe;CONSTITUCION;Villa Constitución;29/4/2020;9;;;;;;;;
Santa Fe;GARAY;Cayastá;29/4/2020;1;;;;;;;;
Santa Fe;GARAY;Helvecia;29/4/2020;2;;;;;;;;
Santa Fe;General Lopez;Elortondo;29/4/2020;4;;;;;;;;
Santa Fe;General Lopez;Firmat;29/4/2020;1;;;;;;;;
Santa Fe;General Lopez;Sancti Spiritu;29/4/2020;1;;;;;;;;
Santa Fe;General Lopez;Venado Tuerto;29/4/2020;12;;;;;;;;
Santa Fe;IRIONDO;Cañada de Gómez;29/4/2020;1;;;;;;;;
Santa Fe;IRIONDO;Oliveros;29/4/2020;4;;;;;;;;
Santa Fe;IRIONDO;Pueblo Andino;29/4/2020;2;;;;;;;;
Santa Fe;LA CAPITAL;Llambi Campbell;29/4/2020;3;;;;;;;;
Santa Fe;LA CAPITAL;San José del Rincón;29/4/2020;1;;;;;;;;
Santa Fe;LA CAPITAL;Santa Fe;29/4/2020;27;;;;;;;;
Santa Fe;LA CAPITAL;Santo Tomé;29/4/2020;5;;;;;;;;
Santa Fe;LA CAPITAL;Sauce Viejo;29/4/2020;1;;;;;;;;
Santa Fe;LAS COLONIAS;Esperanza;29/4/2020;1;;;;;;;;
Santa Fe;LAS COLONIAS;Franck;29/4/2020;1;;;;;;;;
Santa Fe;LAS COLONIAS;Humboldt;29/4/2020;1;;;;;;;;
Santa Fe;LAS COLONIAS;San Carlos Sud;29/4/2020;1;;;;;;;;
Santa Fe;ROSARIO;Arroyo Seco;29/4/2020;2;;;;;;;;
Santa Fe;ROSARIO;Funes;29/4/2020;5;;;;;;;;
Santa Fe;ROSARIO;Granadero Baigorria;29/4/2020;2;;;;;;;;
Santa Fe;ROSARIO;Rosario;29/4/2020;98;;;;;;;;
Santa Fe;ROSARIO;Villa Gobernador Gálvez;29/4/2020;2;;;;;;;;
Santa Fe;SAN JAVIER;San Javier;29/4/2020;1;;;;;;;;
Santa Fe;SAN JERONIMO;Gálvez;29/4/2020;9;;;;;;;;
Santa Fe;SAN JERONIMO;San Genaro;29/4/2020;1;;;;;;;;
Santa Fe;SAN LORENZO;Capitán Bermúdez;29/4/2020;1;;;;;;;;
Santa Fe;SAN LORENZO;Fray Luis Beltrán;29/4/2020;4;;;;;;;;
Santa Fe;SAN LORENZO;Pujato;29/4/2020;2;;;;;;;;
Santa Fe;SAN LORENZO;Roldán;29/4/2020;6;;;;;;;;
Santa Fe;SAN LORENZO;San Lorenzo;29/4/2020;3;;;;;;;;
Santa Fe;VERA;Vera;29/4/2020;1;;;;;;;;
Salta;CAPITAL;Salta;29/4/2020;4;;;;;;;;
Río Negro;;San Carlos de Bariloche;29/4/2020;75;;;;;;;;
Río Negro;;Cipolletti;29/4/2020;15;;;;;;;;
Río Negro;;Choele Choel;29/4/2020;40;;;;;;;;
Río Negro;;Allen;29/4/2020;8;;;;;;;;
Río Negro;;Dina Huapi;29/4/2020;6;;;;;;;;
Río Negro;;Catriel;29/4/2020;3;;;;;;;;
Río Negro;;Río Colorado;29/4/2020;2;;;;;;;;
Río Negro;;Luis Beltrán;29/4/2020;7;;;;;;;;
Río Negro;;Coronel Belisle;29/4/2020;1;;;;;;;;
Río Negro;;El Bolsón;29/4/2020;2;;;;;;;;
Río Negro;;Villa Regina;29/4/2020;5;;;;;;;;
Río Negro;;General Conesa;29/4/2020;1;;;;;;;;
Río Negro;;General Roca;29/4/2020;11;;;;;;;;
Río Negro;;Viedma;29/4/2020;1;;;;;;;;
Río Negro;;Cinco Saltos;29/4/2020;2;;;;;;;;
Río Negro;;Lamarque;29/4/2020;19;;;;;;;;
Río Negro;;Chimpay;29/4/2020;6;;;;;;;;
Neuquén;;Loncopué;29/4/2020;34;;;;;;;;
Neuquén;;Neuquén;29/4/2020;34;;;;;;;;
Neuquén;;Las Lajas;29/4/2020;13;;;;;;;;
