FECHA;CONFIRMADOS;FALLECIDOS;EN ESTUDIO;DESCARTADOS;ANALIZADOS;UTI;RECUPERADOS
13/3/2020;1;0;;;;;
14/3/2020;1;0;;;;;
15/3/2020;1;0;;;;;
16/3/2020;1;0;7;4;;;
17/3/2020;2;0;;;;;
18/3/2020;3;0;;;;;
19/3/2020;3;0;15;14;;;
20/3/2020;4;0;16;14;;;
21/3/2020;4;0;19;14;;;
22/3/2020;4;0;17;16;;;
23/3/2020;4;0;20;20;;;
24/3/2020;4;0;29;21;;;
25/3/2020;7;0;;;;;
26/3/2020;10;0;31;34;;;
27/3/2020;10;0;35;57;;;
28/3/2020;10;0;36;58;;;
29/3/2020;10;0;65;60;;;
30/3/2020;13;0;68;74;;;
31/3/2020;13;0;45;110;;;
1/4/2020;14;0;37;134;;;
2/4/2020;16;0;30;;;1;4
3/4/2020;18;0;11;169;;;
4/4/2020;18;0;;;;;
5/4/2020;19;0;;;;;
6/4/2020;19;0;4;220;;;
7/4/2020;19;0;;;;;
8/4/2020;20;0;;;;;
9/4/2020;21;0;6;257;291;;
10/4/2020;21;0;1;270;293;;
11/4/2020;21;0;23;275;320;;
12/4/2020;21;0;4;294;320;1;7
13/4/2020;21;0;9;308;338;1;7
14/4/2020;21;0;5;326;352;1;10
15/4/2020;22;0;;;;;
