PROVINCIA;FECHA;CASOS
Buenos Aires;29/3/2020;1
Buenos Aires;29/3/2020;16
Buenos Aires;28/3/2020;8
Buenos Aires;27/3/2020;36
Buenos Aires;26/3/2020;27
Buenos Aires;25/3/2020;30
Buenos Aires;24/3/2020;28
Buenos Aires;23/3/2020;5
Buenos Aires;22/3/2020;8
Buenos Aires;21/3/2020;15
Buenos Aires;20/3/2020;9
Buenos Aires;19/3/2020;15
Buenos Aires;18/3/2020;6
Buenos Aires;17/3/2020;1
Buenos Aires;16/3/2020;1
Buenos Aires;15/3/2020;1
Buenos Aires;14/3/2020;1
Buenos Aires;13/3/2020;1
Buenos Aires;12/3/2020;1
Buenos Aires;12/3/2020;1
Buenos Aires;12/3/2020;1
Buenos Aires;12/3/2020;1
Buenos Aires;11/3/2020;1
Buenos Aires;10/3/2020;1
Buenos Aires;8/3/2020;1
Buenos Aires;6/3/2020;1
Ciudad de Buenos Aires;29/3/2020;-12
Ciudad de Buenos Aires;29/3/2020;13
Ciudad de Buenos Aires;28/3/2020;18
Ciudad de Buenos Aires;27/3/2020;43
Ciudad de Buenos Aires;26/3/2020;30
Ciudad de Buenos Aires;25/3/2020;21
Ciudad de Buenos Aires;24/3/2020;30
Ciudad de Buenos Aires;23/3/2020;11
Ciudad de Buenos Aires;22/3/2020;11
Ciudad de Buenos Aires;21/3/2020;29
Ciudad de Buenos Aires;20/3/2020;9
Ciudad de Buenos Aires;19/3/2020;8
Ciudad de Buenos Aires;18/3/2020;10
Ciudad de Buenos Aires;17/3/2020;4
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;16/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;15/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;14/3/2020;1
Ciudad de Buenos Aires;13/3/2020;1
Ciudad de Buenos Aires;13/3/2020;1
Ciudad de Buenos Aires;12/3/2020;1
Ciudad de Buenos Aires;12/3/2020;1
Ciudad de Buenos Aires;11/3/2020;1
Ciudad de Buenos Aires;10/3/2020;1
Ciudad de Buenos Aires;9/3/2020;1
Ciudad de Buenos Aires;8/3/2020;1
Ciudad de Buenos Aires;8/3/2020;1
Ciudad de Buenos Aires;7/3/2020;1
Ciudad de Buenos Aires;6/3/2020;1
Ciudad de Buenos Aires;6/3/2020;1
Ciudad de Buenos Aires;6/3/2020;1
Ciudad de Buenos Aires;6/3/2020;1
