barrios;comunas;casos confirmados;Fecha actualización
CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;43;17/4/2020
RECOLETA;2;55;17/4/2020
BALVANERA - SAN CRISTOBAL;3;68;17/4/2020
BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS;4;29;17/4/2020
ALMAGRO - BOEDO;5;41;17/4/2020
CABALLITO;6;26;17/4/2020
FLORES - PARQUE CHACABUCO;7;56;17/4/2020
VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI;8;15;17/4/2020
LINIERS - MATADEROS - PARQUE AVELLANEDA;9;19;17/4/2020
FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;10;42;17/4/2020
VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;48;17/4/2020
COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA;12;46;17/4/2020
BELGRANO - COLEGIALES - NUÑEZ;13;60;17/4/2020
PALERMO;14;67;17/4/2020
AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR;15;35;17/4/2020
