nombre,nom_agl,departamen,provincia
Carhué,Adolfo Alsina,Adolfo Alsina,Buenos Aires
Colonia San Miguel Arcángel,Adolfo Alsina,Adolfo Alsina,Buenos Aires
Delfín Huergo,Adolfo Alsina,Adolfo Alsina,Buenos Aires
Espartillar,Adolfo Alsina,Adolfo Alsina,Buenos Aires
Esteban Agustín Gascón,Adolfo Alsina,Adolfo Alsina,Buenos Aires
La Pala,Adolfo Alsina,Adolfo Alsina,Buenos Aires
Maza,Adolfo Alsina,Adolfo Alsina,Buenos Aires
Rivera,Adolfo Alsina,Adolfo Alsina,Buenos Aires
Villa Margarita,Adolfo Alsina,Adolfo Alsina,Buenos Aires
Yutuyaco,Adolfo Alsina,Adolfo Alsina,Buenos Aires
Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Buenos Aires
De La Garma,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Buenos Aires
Juan E. Barra,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Buenos Aires
Vásquez,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Buenos Aires
Alberti,Alberti,Alberti,Buenos Aires
Coronel Seguí,Alberti,Alberti,Buenos Aires
Mechita,Alberti,Alberti,Buenos Aires
Pla,Alberti,Alberti,Buenos Aires
Villa Grisolía,Alberti,Alberti,Buenos Aires
Villa María,Alberti,Alberti,Buenos Aires
Villa Ortiz,Alberti,Alberti,Buenos Aires
Almirante Brown,Almirante Brown,Almirante Brown,Buenos Aires
Avellaneda,Avellaneda,Avellaneda,Buenos Aires
Ayacucho,Ayacucho,Ayacucho,Buenos Aires
La Constancia,Ayacucho,Ayacucho,Buenos Aires
Solanet,Ayacucho,Ayacucho,Buenos Aires
Udaquiola,Ayacucho,Ayacucho,Buenos Aires
Ariel,Azul,Azul,Buenos Aires
Azul,Azul,Azul,Buenos Aires
Cacharí,Azul,Azul,Buenos Aires
Chillar,Azul,Azul,Buenos Aires
16 de Julio,Azul,Azul,Buenos Aires
Bahía Blanca,Bahía Blanca,Bahía Blanca,Buenos Aires
Cabildo,Bahía Blanca,Bahía Blanca,Buenos Aires
General Daniel Cerri,Bahía Blanca,Bahía Blanca,Buenos Aires
Balcarce,Balcarce,Balcarce,Buenos Aires
Los Pinos,Balcarce,Balcarce,Buenos Aires
Napaleofú,Balcarce,Balcarce,Buenos Aires
Ramos Otero,Balcarce,Balcarce,Buenos Aires
San Agustín,Balcarce,Balcarce,Buenos Aires
Villa Laguna La Brava,Balcarce,Balcarce,Buenos Aires
Baradero,Baradero,Baradero,Buenos Aires
Irineo Portela,Baradero,Baradero,Buenos Aires
Santa Coloma,Baradero,Baradero,Buenos Aires
Villa Alsina,Baradero,Baradero,Buenos Aires
Arrecifes,Arrecifes,Arrecifes,Buenos Aires
Todd,Arrecifes,Arrecifes,Buenos Aires
Viña,Arrecifes,Arrecifes,Buenos Aires
Barker,Benito Juárez,Benito Juárez,Buenos Aires
Benito Juárez,Benito Juárez,Benito Juárez,Buenos Aires
López,Benito Juárez,Benito Juárez,Buenos Aires
Tedín Uriburu,Benito Juárez,Benito Juárez,Buenos Aires
Villa Cacique,Benito Juárez,Benito Juárez,Buenos Aires
Berazategui,Berazategui,Berazategui,Buenos Aires
Berisso,Berisso,Berisso,Buenos Aires
Hale,Bolívar,Bolívar,Buenos Aires
Juan F. Ibarra,Bolívar,Bolívar,Buenos Aires
Paula,Bolívar,Bolívar,Buenos Aires
Pirovano,Bolívar,Bolívar,Buenos Aires
San Carlos de Bolívar,Bolívar,Bolívar,Buenos Aires
Urdampilleta,Bolívar,Bolívar,Buenos Aires
Villa Lynch Pueyrredón,Bolívar,Bolívar,Buenos Aires
Asamblea,Bragado,Bragado,Buenos Aires
Bragado,Bragado,Bragado,Buenos Aires
Comodoro Py,Bragado,Bragado,Buenos Aires
General O'Brien,Bragado,Bragado,Buenos Aires
Irala,Bragado,Bragado,Buenos Aires
La Limpia,Bragado,Bragado,Buenos Aires
Juan F. Salaberry,Bragado,Bragado,Buenos Aires
Mechita,Bragado,Bragado,Buenos Aires
Olascoaga,Bragado,Bragado,Buenos Aires
Warnes,Bragado,Bragado,Buenos Aires
Altamirano,Brandsen,Brandsen,Buenos Aires
Barrio El Mirador,Brandsen,Brandsen,Buenos Aires
Barrio Las Golondrinas,Brandsen,Brandsen,Buenos Aires
Barrio Los Bosquecitos,Brandsen,Brandsen,Buenos Aires
Barrio Parque Las Acacias,Brandsen,Brandsen,Buenos Aires
Campos de Roca,Brandsen,Brandsen,Buenos Aires
Coronel Brandsen,Brandsen,Brandsen,Buenos Aires
Club de Campo Las Malvinas,Brandsen,Brandsen,Buenos Aires
Gómez,Brandsen,Brandsen,Buenos Aires
Jeppener,Brandsen,Brandsen,Buenos Aires
Oliden,Brandsen,Brandsen,Buenos Aires
Posada de los Lagos,Brandsen,Brandsen,Buenos Aires
Samborombón,Brandsen,Brandsen,Buenos Aires
Los Cardales,Campana,Campana,Buenos Aires
Barrio Los Pioneros (Barrio Tavella),Campana,Campana,Buenos Aires
Campana,Campana,Campana,Buenos Aires
Chacras del Río Luján,Campana,Campana,Buenos Aires
Río Luján,Campana,Campana,Buenos Aires
Alejandro Petión,Cañuelas,Cañuelas,Buenos Aires
Barrio El Taladro,Cañuelas,Cañuelas,Buenos Aires
Cañuelas,Cañuelas,Cañuelas,Buenos Aires
Gobernador Udaondo,Cañuelas,Cañuelas,Buenos Aires
Máximo Paz,Cañuelas,Cañuelas,Buenos Aires
Santa Rosa,Cañuelas,Cañuelas,Buenos Aires
Uribelarrea,Cañuelas,Cañuelas,Buenos Aires
Vicente Casares,Cañuelas,Cañuelas,Buenos Aires
Capitán Sarmiento,Capitán Sarmiento,Capitán Sarmiento,Buenos Aires
La Luisa,Capitán Sarmiento,Capitán Sarmiento,Buenos Aires
Bellocq,Carlos Casares,Carlos Casares,Buenos Aires
Cadret,Carlos Casares,Carlos Casares,Buenos Aires
Carlos Casares,Carlos Casares,Carlos Casares,Buenos Aires
Colonia Mauricio,Carlos Casares,Carlos Casares,Buenos Aires
Hortensia,Carlos Casares,Carlos Casares,Buenos Aires
La Sofía,Carlos Casares,Carlos Casares,Buenos Aires
Mauricio Hirsch,Carlos Casares,Carlos Casares,Buenos Aires
Moctezuma,Carlos Casares,Carlos Casares,Buenos Aires
Ordoqui,Carlos Casares,Carlos Casares,Buenos Aires
Santo Tomás,Carlos Casares,Carlos Casares,Buenos Aires
Smith,Carlos Casares,Carlos Casares,Buenos Aires
Carlos Tejedor,Carlos Tejedor,Carlos Tejedor,Buenos Aires
Colonia Seré,Carlos Tejedor,Carlos Tejedor,Buenos Aires
Curarú,Carlos Tejedor,Carlos Tejedor,Buenos Aires
Timote,Carlos Tejedor,Carlos Tejedor,Buenos Aires
Tres Algarrobos,Carlos Tejedor,Carlos Tejedor,Buenos Aires
Carmen de Areco,Carmen de Areco,Carmen de Areco,Buenos Aires
Pueblo Gouin,Carmen de Areco,Carmen de Areco,Buenos Aires
Tres Sargentos,Carmen de Areco,Carmen de Areco,Buenos Aires
Castelli,Castelli,Castelli,Buenos Aires
Centro Guerrero,Castelli,Castelli,Buenos Aires
Cerro de la Gloria,Castelli,Castelli,Buenos Aires
Colón,Colón,Colón,Buenos Aires
Villa Manuel Pomar,Colón,Colón,Buenos Aires
Pearson,Colón,Colón,Buenos Aires
Sarasa,Colón,Colón,Buenos Aires
Villa General Arias,Coronel de Marina L. Rosales,Coronel de Marina Leonardo Rosales,Buenos Aires
Bajo Hondo,Coronel de Marina L. Rosales,Coronel de Marina Leonardo Rosales,Buenos Aires
Balneario Pehuen Co,Coronel de Marina L. Rosales,Coronel de Marina Leonardo Rosales,Buenos Aires
Pago Chico,Coronel de Marina L. Rosales,Coronel de Marina Leonardo Rosales,Buenos Aires
Punta Alta,Coronel de Marina L. Rosales,Coronel de Marina Leonardo Rosales,Buenos Aires
Aparicio,Coronel Dorrego,Coronel Dorrego,Buenos Aires
Marisol,Coronel Dorrego,Coronel Dorrego,Buenos Aires
Coronel Dorrego,Coronel Dorrego,Coronel Dorrego,Buenos Aires
El Perdido,Coronel Dorrego,Coronel Dorrego,Buenos Aires
Faro,Coronel Dorrego,Coronel Dorrego,Buenos Aires
Irene,Coronel Dorrego,Coronel Dorrego,Buenos Aires
Oriente,Coronel Dorrego,Coronel Dorrego,Buenos Aires
Paraje La Ruta,Coronel Dorrego,Coronel Dorrego,Buenos Aires
San Román,Coronel Dorrego,Coronel Dorrego,Buenos Aires
Coronel Pringles,Coronel Pringles,Coronel Pringles,Buenos Aires
El Divisorio,Coronel Pringles,Coronel Pringles,Buenos Aires
El Pensamiento,Coronel Pringles,Coronel Pringles,Buenos Aires
Indio Rico,Coronel Pringles,Coronel Pringles,Buenos Aires
Lartigau,Coronel Pringles,Coronel Pringles,Buenos Aires
Cascada,Coronel Suárez,Coronel Suárez,Buenos Aires
Coronel Suárez,Coronel Suárez,Coronel Suárez,Buenos Aires
Curamalal,Coronel Suárez,Coronel Suárez,Buenos Aires
D'Orbigny,Coronel Suárez,Coronel Suárez,Buenos Aires
Huanguelén,Coronel Suárez,Coronel Suárez,Buenos Aires
Pasman,Coronel Suárez,Coronel Suárez,Buenos Aires
San José,Coronel Suárez,Coronel Suárez,Buenos Aires
Santa María,Coronel Suárez,Coronel Suárez,Buenos Aires
Santa Trinidad,Coronel Suárez,Coronel Suárez,Buenos Aires
Villa La Arcadia,Coronel Suárez,Coronel Suárez,Buenos Aires
Castilla,Chacabuco,Chacabuco,Buenos Aires
Chacabuco,Chacabuco,Chacabuco,Buenos Aires
Los Angeles,Chacabuco,Chacabuco,Buenos Aires
O'Higgins,Chacabuco,Chacabuco,Buenos Aires
Rawson,Chacabuco,Chacabuco,Buenos Aires
Barrio Lomas Altas,Chascomús,Chascomús,Buenos Aires
Chascomús,Chascomús,Chascomús,Buenos Aires
Laguna Vitel,Chascomús,Chascomús,Buenos Aires
Manuel J. Cobo,Chascomús,Lezama,Buenos Aires
Villa Parque Girado,Chascomús,Chascomús,Buenos Aires
