1; China;1404959000
2; India;1398496000
3; Estados Unidos;330641000
4; Indonesia;269856000
5; Pakistán;222017000
6; Brasil;210688000
7; Nigeria;209058000
8; Bangladés;179904000
9; Rusia;146710000
10; México;127187000
11; Japón;126127000
12; Filipinas;108879000
13; Egipto;100027000
14; Etiopía;99773000
15; Vietnam;97038000
16; República Democrática del Congo;88143000
17; Irán;83375000
18; Alemania;83241000
19; Turquía;83215000
20; Tailandia;68113000
21; Reino Unido;67036000
22; Francia;64927000
23; Italia;60316000
24; Sudáfrica;59263000
25; Tanzania;56796000
26; Myanmar/Birmania;54339766
27; Corea del Sur;51886000
28; Colombia;48922000
29; Kenia;47899000
30; España;47195000
31; Argentina;45167000
32; Sudán;43859000
33; Argelia;43825000
34; Ucrania;41909000
35; Uganda;40617000
36; Irak;39413000
37; Polonia;38391000
38; Canadá;37802000
39; Marruecos;35601000
40; Arabia Saudita;34631000
41; Uzbekistán;33835000
42; Malasia;33210000
43; Afganistán;32593000
44; Venezuela;32423000
45; Perú;32313000
46; Angola;30645000
47; Ghana;30624000
48; Nepal;29811000
49; Yemen;29431000
50; Mozambique;28972000
51; Madagascar;26957000
52; Costa de Marfil;26154000
53; Australia;25578000
54; Corea del Norte;25517000
55; Camerún;24649000
56; Níger;22755000
57; Sri Lanka;21870000
58; Burkina Faso;21206000
59; Malí;20288000
60; Rumanía;19293000
61; Chile;19241000
62; Kazajistán;18638000
63; Malaui;18249000
64; Zambia;17636000
65; Siria;17514000
66; Ecuador;17405000
67; Países Bajos;17384000
68; Guatemala;16921000
69; Senegal;16459000
70; Chad;15971000
71; Somalia;15703000
72; Camboya;15442000
73; Zimbabue;15280000
74; Sudán del Sur;13032000
75; Ruanda;12531000
76; Guinea;12365000
77; Benín;11922000
78; Túnez;11763000
79; Haití;11663000
80; Bolivia;11553000
81; Bélgica;11471000
82; Cuba;11198000
83; Burundi;11111000
84; Jordania;10706000
85; República Checa;10685000
86; República Dominicana;10407000
87; Suecia;10333000
88; Portugal;10240000
89; Grecia;10203000
90; Azerbaiyán;10062000
91; Emiratos Árabes Unidos;9787000
92; Hungría;9760000
93; Bielorrusia;9456000
94; Tayikistán;9327000
95; Honduras;9234000
96; Israel;8991000
97; Austria;8915000
98; Papúa Nueva Guinea;8864000
99; Suiza;8608000
100; Sierra Leona;8029000
101; Togo;7642000
102; Paraguay;7204000
103; Laos;7183000
104; Bulgaria;6954000
105; Serbia;6885000
106; Libia;6824000
107; El Salvador;6736000
108; Líbano;6665000
109; Nicaragua6562000;
110; Kirguistán;6520000
111; Turkmenistán;5980000
112; Dinamarca;5835000
113; Singapur;5727000
114; República Centroafricana;5558000
115; Finlandia;5528000
116; Eslovaquia;5455000
117; República del Congo;5435000
118; Noruega;5366000
119; Costa Rica;5086000
120; Nueva Zelanda;5025000
121; Irlanda;4968000
122; Omán;4679000
123; Liberia;4526000
124; Kuwait;4490000
125; Panamá;4250000
126; Mauritania;4124000
127; Croacia;4114000
128; Georgia;3722000
129; Uruguay;3525000
130; Eritrea;3523000
131; Bosnia y Herzegovina;3297000
132; Mongolia;3158000
133; Armenia;2956000
134; Albania;2851000
135; Lituania;2794000
136; Catar;2768000
137; Jamaica;2726000
138; Moldavia;2618000
139; Namibia;2483000
140; Gambia;2377000
141; Botsuana;2361000
142; Gabón;2201000
143; Eslovenia;2092000
144; Macedonia;2079000
145; Lesoto;2058000
146; Letonia;1908000
147; Guinea-Bisáu;1619000
148; Baréin;1581000
149; Guinea Ecuatorial;1430000
150; Timor Oriental;1408000
151; Trinidad y Tobago;1366000
152; Estonia;1328000
153; Mauricio;1268000
154; Suazilandia;1114000
155; Yibuti;1093000
156; Fiyi;896000
157; Chipre;885000
158; Comoras;885000
159; Guyana;786000
160; Bután;746000
161; Islas Salomón;691000
162; Luxemburgo;627000
163; Montenegro;623000
164; Surinam;584000
165; Cabo Verde;554000
166; Malta;511000
167; Brunéi;454000
168; Belice;414000
169; Bahamas;387000
170; Maldivas;381000
171; Islandia;365000
172; Vanuatu;319000
173; Barbados;287000
174; Santo Tomé y Príncipe;209000
175; Samoa;202000
176; Santa Lucía;183000
177; Kiribati;124000
178; Granada;113000
179; San Vicente y las Granadinas;111000
180; Micronesia;105000
181; Tonga;100000
182; Seychelles;98000
183; Antigua y Barbuda;97000
184; Andorra;77000
185; Dominica;72000
186; Islas Marshall;56000
187; San Cristóbal y Nieves;53000
188; Liechtenstein;39000
189; Mónaco;39000
190; San Marino;34000
191; Palaos;18000
192; Nauru;11000
193; Tuvalu;10000
194; Ciudad del Vaticano;1000
;;
;;
3; POBLACIONES DE OTROS TERRITORIOS NO SOBERANOS (2020);
1; República de China – Taiwán(China);23605000
2; Hong Kong(China);7562000
3; Palestina(en disputa con Israel);5041000
4; Puerto Rico(Estados Unidos);3107000
5; Kosovo(en disputa con Serbia);1798000
6; República Árabe Saharaui Democrática(en disputa con Marruecos);590000
7; Guayana Francesa(Francia);300000
8; Groenlandia(Dinamarca);56000
