GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.1_1,Adolfo Alsina,Carhue,,Partido,Part,,AR.BA.AA
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.2_1,Adolfo Gonzales Chaves,Adolfo Gonzal,,Partido,Part,,AR.BA.AC
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.3_1,Alberti,,,Partido,Part,,AR.BA.AL
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.4_1,Almirante Brown,,,Partido,Part,,AR.BA.AB
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.5_1,Ameghino,,,Partido,Part,,
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.6_1,Arrecifes,Bartolome Mitre,,Partido,Part,,AR.BA.BM
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.7_1,Avellaneda,,,Partido,Part,,AR.BA.AV
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.8_1,Ayacucho,,,Partido,Part,,AR.BA.AY
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.9_1,Azul,,,Partido,Part,,AR.BA.AZ
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.10_1,Bahía Blanca,,,Partido,Part,,AR.BA.BB
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.11_1,Balcarce,,,Partido,Part,,AR.BA.BC
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.12_1,Baradero,,,Partido,Part,,AR.BA.BD
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.13_1,Benito Juárez,,,Partido,Part,,AR.BA.BJ
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.14_1,Berazategui,,,Partido,Part,,AR.BA.BZ
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.15_1,Berisso,,,Partido,Part,,AR.BA.BS
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.16_1,Bolívar,,,Partido,Part,,AR.BA.BO
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.17_1,Bragado,,,Partido,Part,,AR.BA.BG
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.18_1,Brandsen,,,Partido,Part,,AR.BA.BR
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.19_1,Campana,,,Partido,Part,,AR.BA.CM
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.20_1,Ca?uelas,,,Partido,Part,,AR.BA.CL
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.21_1,Capitán Sarmiento,,,Partido,Part,,AR.BA.CS
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.22_1,Carlos Casares,,,Partido,Part,,AR.BA.CC
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.23_1,Carlos Tejedor,,,Partido,Part,,AR.BA.CT
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.24_1,Carmen de Areco,,,Partido,Part,,AR.BA.CA
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.25_1,Castelli,,,Partido,Part,,AR.BA.CI
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.26_1,Chacabuco,,,Partido,Part,,AR.BA.CB
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.27_1,Chascomús,,,Partido,Part,,AR.BA.CH
ARG,Argentina,ARG.1_1,Buenos Aires,,ARG.1.28_1,Chivilcoy,,,Partido,Part,,AR.BA.CV
