ID;provincia_residencia;departamento_residencia;DeptoProv;Confirmado;Descartado;Notificado;Sospechoso;cantidad
1;Buenos Aires;25 de Mayo;Buenos Aires, 25 de Mayo;0;13;0;2;0
2;Buenos Aires;9 de Julio;Buenos Aires, 9 de Julio;4;72;0;5;0
3;Buenos Aires;Adolfo Alsina;Buenos Aires, Adolfo Alsina;0;5;1;1;0
4;Buenos Aires;Adolfo Gonzales Chaves;Buenos Aires, Adolfo Gonzales Chaves;0;12;0;1;0
5;Buenos Aires;Alberti;Buenos Aires, Alberti;2;10;0;3;0
6;Buenos Aires;Almirante Brown;Buenos Aires, Almirante Brown;78;983;11;187;3
7;Buenos Aires;Arrecifes;Buenos Aires, Arrecifes;0;22;0;5;0
8;Buenos Aires;Avellaneda;Buenos Aires, Avellaneda;73;778;9;152;5
9;Buenos Aires;Ayacucho;Buenos Aires, Ayacucho;0;32;0;3;0
10;Buenos Aires;Azul;Buenos Aires, Azul;2;34;0;4;0
11;Buenos Aires;Bahía Blanca;Buenos Aires, Bahía Blanca;39;410;234;96;1
12;Buenos Aires;Balcarce;Buenos Aires, Balcarce;0;46;0;3;0
13;Buenos Aires;Baradero;Buenos Aires, Baradero;2;23;0;2;0
14;Buenos Aires;Benito Juárez;Buenos Aires, Benito Juárez;0;16;0;0;0
15;Buenos Aires;Berazategui;Buenos Aires, Berazategui;47;506;8;97;2
16;Buenos Aires;Berisso;Buenos Aires, Berisso;3;162;1;40;0
17;Buenos Aires;Bolívar;Buenos Aires, Bolívar;0;80;0;1;0
18;Buenos Aires;Bragado;Buenos Aires, Bragado;3;51;0;2;0
19;Buenos Aires;Brandsen;Buenos Aires, Brandsen;8;52;1;9;0
20;Buenos Aires;Campana;Buenos Aires, Campana;7;212;2;30;3
21;Buenos Aires;Ca?uelas;Buenos Aires, Ca?uelas;6;137;0;21;1
22;Buenos Aires;Capitán Sarmiento;Buenos Aires, Capitán Sarmiento;0;14;0;0;0
23;Buenos Aires;Carlos Casares;Buenos Aires, Carlos Casares;3;57;1;4;0
24;Buenos Aires;Carlos Tejedor;Buenos Aires, Carlos Tejedor;1;7;0;0;0
25;Buenos Aires;Carmen de Areco;Buenos Aires, Carmen de Areco;0;18;0;2;0
26;Buenos Aires;Castelli;Buenos Aires, Castelli;0;5;0;0;0
27;Buenos Aires;Chacabuco;Buenos Aires, Chacabuco;5;68;2;24;0
28;Buenos Aires;Chascomús;Buenos Aires, Chascomús;2;23;0;20;0
29;Buenos Aires;Chivilcoy;Buenos Aires, Chivilcoy;4;156;1;27;0
30;Buenos Aires;Colón;Buenos Aires, Colón;3;12;1;1;0
31;Buenos Aires;Coronel de Marina L. Rosales;Buenos Aires, Coronel de Marina L. Rosales;1;40;13;5;0
32;Buenos Aires;Coronel Dorrego;Buenos Aires, Coronel Dorrego;1;12;1;2;0
33;Buenos Aires;Coronel Pringles;Buenos Aires, Coronel Pringles;0;14;0;0;0
34;Buenos Aires;Coronel Suárez;Buenos Aires, Coronel Suárez;0;32;0;1;0
35;Buenos Aires;Daireaux;Buenos Aires, Daireaux;1;16;0;6;0
36;Buenos Aires;Dolores;Buenos Aires, Dolores;3;10;0;3;0
37;Buenos Aires;Ensenada;Buenos Aires, Ensenada;4;128;0;16;0
38;Buenos Aires;Escobar;Buenos Aires, Escobar;73;467;18;130;7
39;Buenos Aires;Esteban Echeverría;Buenos Aires, Esteban Echeverría;47;540;21;193;0
40;Buenos Aires;Exaltación de la Cruz;Buenos Aires, Exaltación de la Cruz;3;47;0;8;2
41;Buenos Aires;Ezeiza;Buenos Aires, Ezeiza;68;550;6;85;0
42;Buenos Aires;Florencio Varela;Buenos Aires, Florencio Varela;57;656;8;168;4
43;Buenos Aires;Florentino Ameghino;Buenos Aires, Florentino Ameghino;0;6;0;0;0
44;Buenos Aires;General Alvarado;Buenos Aires, General Alvarado;0;27;0;3;0
45;Buenos Aires;General Alvear;Buenos Aires, General Alvear;0;4;0;3;0
46;Buenos Aires;General Arenales;Buenos Aires, General Arenales;0;7;0;1;0
47;Buenos Aires;General Belgrano;Buenos Aires, General Belgrano;1;23;0;1;0
48;Buenos Aires;General Guido;Buenos Aires, General Guido;0;2;0;0;0
49;Buenos Aires;General Juan Madariaga;Buenos Aires, General Juan Madariaga;0;7;0;0;0
50;Buenos Aires;General La Madrid;Buenos Aires, General La Madrid;0;37;0;4;0
51;Buenos Aires;General Las Heras;Buenos Aires, General Las Heras;1;20;0;5;0
52;Buenos Aires;General Lavalle;Buenos Aires, General Lavalle;0;1;0;1;0
53;Buenos Aires;General Paz;Buenos Aires, General Paz;0;14;0;1;0
54;Buenos Aires;General Pinto;Buenos Aires, General Pinto;0;8;0;0;0
55;Buenos Aires;General Pueyrredón;Buenos Aires, General Pueyrredón;27;596;99;127;2
56;Buenos Aires;General Rodríguez;Buenos Aires, General Rodríguez;9;219;1;59;0
57;Buenos Aires;General San Martín;Buenos Aires, General San Martín;151;1247;51;265;16
58;Buenos Aires;General Viamonte;Buenos Aires, General Viamonte;0;13;0;0;0
59;Buenos Aires;General Villegas;Buenos Aires, General Villegas;0;13;0;3;0
60;Buenos Aires;Guaminí;Buenos Aires, Guaminí;1;10;0;0;0
61;Buenos Aires;Hipólito Yrigoyen;Buenos Aires, Hipólito Yrigoyen;0;9;1;1;0
62;Buenos Aires;Hurlingham;Buenos Aires, Hurlingham;30;420;4;86;0
63;Buenos Aires;Ituzaingó;Buenos Aires, Ituzaingó;37;349;3;81;5
64;Buenos Aires;José C. Paz;Buenos Aires, José C. Paz;35;426;13;92;5
65;Buenos Aires;Junín;Buenos Aires, Junín;2;110;0;6;0
66;Buenos Aires;La Costa;Buenos Aires, La Costa;1;63;0;12;0
67;Buenos Aires;La Matanza;Buenos Aires, La Matanza;256;2448;76;516;6
68;Buenos Aires;La Plata;Buenos Aires, La Plata;65;1603;21;239;2
69;Buenos Aires;Lanús;Buenos Aires, Lanús;72;990;10;147;1
70;Buenos Aires;Laprida;Buenos Aires, Laprida;0;8;0;2;0
71;Buenos Aires;Las Flores;Buenos Aires, Las Flores;0;17;0;1;0
72;Buenos Aires;Leandro N. Alem;Buenos Aires, Leandro N. Alem;1;13;0;11;1
73;Buenos Aires;Lincoln;Buenos Aires, Lincoln;1;33;0;6;0
74;Buenos Aires;Lobería;Buenos Aires, Lobería;2;14;0;3;0
75;Buenos Aires;Lobos;Buenos Aires, Lobos;1;20;0;4;0
76;Buenos Aires;Lomas de Zamora;Buenos Aires, Lomas de Zamora;78;1181;18;233;2
77;Buenos Aires;Luján;Buenos Aires, Luján;24;275;13;69;3
78;Buenos Aires;Magdalena;Buenos Aires, Magdalena;0;10;1;2;0
79;Buenos Aires;Maipú;Buenos Aires, Maipú;0;6;0;2;0
80;Buenos Aires;Malvinas Argentinas;Buenos Aires, Malvinas Argentinas;66;762;29;162;9
81;Buenos Aires;Mar Chiquita;Buenos Aires, Mar Chiquita;1;21;0;3;0
82;Buenos Aires;Marcos Paz;Buenos Aires, Marcos Paz;6;71;3;7;0
83;Buenos Aires;Mercedes;Buenos Aires, Mercedes;2;45;0;44;0
84;Buenos Aires;Merlo;Buenos Aires, Merlo;140;928;15;229;15
85;Buenos Aires;Monte;Buenos Aires, Monte;0;15;0;1;0
86;Buenos Aires;Monte Hermoso;Buenos Aires, Monte Hermoso;1;11;1;1;0
87;Buenos Aires;Moreno;Buenos Aires, Moreno;84;787;13;95;3
88;Buenos Aires;Morón;Buenos Aires, Morón;86;744;6;167;6
89;Buenos Aires;Navarro;Buenos Aires, Navarro;1;8;0;0;0
90;Buenos Aires;Necochea;Buenos Aires, Necochea;3;92;1;8;0
91;Buenos Aires;Olavarría;Buenos Aires, Olavarría;3;106;0;20;0
92;Buenos Aires;Patagones;Buenos Aires, Patagones;1;18;46;4;1
93;Buenos Aires;Pehuajó;Buenos Aires, Pehuajó;2;46;0;2;1
94;Buenos Aires;Pellegrini;Buenos Aires, Pellegrini;0;1;0;0;0
95;Buenos Aires;Pergamino;Buenos Aires, Pergamino;1;35;0;4;0
96;Buenos Aires;Pila;Buenos Aires, Pila;0;2;0;0;0
97;Buenos Aires;Pilar;Buenos Aires, Pilar;84;737;10;152;6
98;Buenos Aires;Pinamar;Buenos Aires, Pinamar;1;16;0;1;0
99;Buenos Aires;Presidente Perón;Buenos Aires, Presidente Perón;9;121;2;22;0
100;Buenos Aires;Puán;Buenos Aires, Puán;1;11;0;3;0
101;Buenos Aires;Punta Indio;Buenos Aires, Punta Indio;0;9;0;1;0
102;Buenos Aires;Quilmes;Buenos Aires, Quilmes;133;1250;46;677;4
103;Buenos Aires;Ramallo;Buenos Aires, Ramallo;1;13;0;0;0
104;Buenos Aires;Rauch;Buenos Aires, Rauch;0;10;0;3;0
105;Buenos Aires;Rivadavia;Buenos Aires, Rivadavia;0;13;0;0;0
106;Buenos Aires;Rojas;Buenos Aires, Rojas;0;22;0;2;0
107;Buenos Aires;Roque Pérez;Buenos Aires, Roque Pérez;0;17;0;2;0
108;Buenos Aires;Saavedra;Buenos Aires, Saavedra;0;13;0;0;0
109;Buenos Aires;Saladillo;Buenos Aires, Saladillo;2;24;0;7;0
110;Buenos Aires;Salliqueló;Buenos Aires, Salliqueló;0;5;0;3;0
111;Buenos Aires;Salto;Buenos Aires, Salto;1;14;0;0;0
112;Buenos Aires;San Andrés de Giles;Buenos Aires, San Andrés de Giles;2;32;0;1;1
113;Buenos Aires;San Antonio de Areco;Buenos Aires, San Antonio de Areco;3;37;1;2;1
114;Buenos Aires;San Cayetano;Buenos Aires, San Cayetano;1;23;0;5;0
115;Buenos Aires;San Fernando;Buenos Aires, San Fernando;39;375;16;64;1
116;Buenos Aires;San Isidro;Buenos Aires, San Isidro;75;788;22;184;4
117;Buenos Aires;San Miguel;Buenos Aires, San Miguel;53;564;4;89;6
118;Buenos Aires;San Nicolás;Buenos Aires, San Nicolás;5;83;1;9;1
119;Buenos Aires;San Pedro;Buenos Aires, San Pedro;1;76;0;0;0
120;Buenos Aires;San Vicente;Buenos Aires, San Vicente;45;183;4;43;3
121;Buenos Aires;Suipacha;Buenos Aires, Suipacha;0;18;1;2;0
122;Buenos Aires;Tandil;Buenos Aires, Tandil;5;117;5;60;0
123;Buenos Aires;Tapalqué;Buenos Aires, Tapalqué;0;2;0;1;0
124;Buenos Aires;Tigre;Buenos Aires, Tigre;69;633;26;92;4
125;Buenos Aires;Tornquist;Buenos Aires, Tornquist;0;8;2;1;0
126;Buenos Aires;Trenque Lauquen;Buenos Aires, Trenque Lauquen;2;22;0;2;0
127;Buenos Aires;Tres Arroyos;Buenos Aires, Tres Arroyos;1;51;14;6;0
128;Buenos Aires;Tres de Febrero;Buenos Aires, Tres de Febrero;54;859;10;188;6
129;Buenos Aires;Tres Lomas;Buenos Aires, Tres Lomas;0;5;0;1;0
130;Buenos Aires;Vicente López;Buenos Aires, Vicente López;74;782;27;237;6
131;Buenos Aires;Villa Gesell;Buenos Aires, Villa Gesell;0;25;0;0;0
132;Buenos Aires;Villarino;Buenos Aires, Villarino;0;31;1;2;0
133;Buenos Aires;Zárate;Buenos Aires, Zárate;6;143;8;80;1
134;CABA;Comuna 1;CABA, Comuna 1;2035;8951;173;3616;89
135;CABA;Comuna 10;CABA, Comuna 10;25;173;1;35;5
136;CABA;Comuna 11;CABA, Comuna 11;16;123;0;38;1
137;CABA;Comuna 12;CABA, Comuna 12;12;121;1;54;0
138;CABA;Comuna 13;CABA, Comuna 13;48;146;9;84;3
139;CABA;Comuna 14;CABA, Comuna 14;47;172;11;88;2
140;CABA;Comuna 15;CABA, Comuna 15;14;143;4;53;0
141;CABA;Comuna 2;CABA, Comuna 2;56;139;4;50;1
142;CABA;Comuna 3;CABA, Comuna 3;32;145;7;91;1
143;CABA;Comuna 4;CABA, Comuna 4;50;236;1;109;0
144;CABA;Comuna 5;CABA, Comuna 5;17;148;3;60;2
145;CABA;Comuna 6;CABA, Comuna 6;18;155;4;48;1
146;CABA;Comuna 7;CABA, Comuna 7;218;263;5;125;8
147;CABA;Comuna 8;CABA, Comuna 8;19;112;0;49;0
148;CABA;Comuna 9;CABA, Comuna 9;12;95;3;25;1
149;Catamarca;Andalgalá;Catamarca, Andalgalá;0;9;0;0;0
150;Catamarca;Belén;Catamarca, Belén;0;8;0;2;0
151;Catamarca;Capayán;Catamarca, Capayán;0;15;0;0;0
152;Catamarca;Capital;Catamarca, Capital;0;101;0;1;0
153;Catamarca;El Alto;Catamarca, El Alto;0;1;0;0;0
154;Catamarca;Fray Mamerto Esquiú;Catamarca, Fray Mamerto Esquiú;0;5;0;0;0
155;Catamarca;La Paz;Catamarca, La Paz;0;5;0;0;0
156;Catamarca;Paclín;Catamarca, Paclín;0;1;0;0;0
157;Catamarca;Pomán;Catamarca, Pomán;0;3;0;0;0
158;Catamarca;Santa María;Catamarca, Santa María;0;20;0;0;0
159;Catamarca;Santa Rosa;Catamarca, Santa Rosa;0;2;0;0;0
160;Catamarca;Tinogasta;Catamarca, Tinogasta;0;8;0;0;0
161;Catamarca;Valle Viejo;Catamarca, Valle Viejo;0;17;0;1;0
162;Chaco;12 de Octubre;Chaco, 12 de Octubre;0;8;0;2;0
163;Chaco;1º de Mayo;Chaco, 1º de Mayo;2;33;0;4;0
164;Chaco;2 de Abril;Chaco, 2 de Abril;0;1;0;1;0
165;Chaco;25 de Mayo;Chaco, 25 de Mayo;0;17;0;3;0
166;Chaco;9 de Julio;Chaco, 9 de Julio;0;8;0;1;0
167;Chaco;Almirante Brown;Chaco, Almirante Brown;0;10;0;0;0
168;Chaco;Bermejo;Chaco, Bermejo;13;45;0;5;1
169;Chaco;Chacabuco;Chaco, Chacabuco;2;16;0;5;0
170;Chaco;Comandante Fernández;Chaco, Comandante Fernández;1;64;1;11;0
171;Chaco;Fray Justo Santa María de Oro;Chaco, Fray Justo Santa María de Oro;0;4;0;0;0
172;Chaco;General Belgrano;Chaco, General Belgrano;0;1;0;0;0
173;Chaco;General Donovan;Chaco, General Donovan;1;23;0;3;0
174;Chaco;General Güemes;Chaco, General Güemes;2;25;0;12;0
175;Chaco;Independencia;Chaco, Independencia;0;9;0;2;0
176;Chaco;Libertad;Chaco, Libertad;0;19;0;2;0
177;Chaco;Libertador General San Martín;Chaco, Libertador General San Martín;3;41;1;3;0
178;Chaco;Maipú;Chaco, Maipú;0;10;0;1;0
179;Chaco;Mayor Luis J. Fontana;Chaco, Mayor Luis J. Fontana;1;43;1;3;0
180;Chaco;O'Higgins;Chaco, O'Higgins;0;2;0;1;0
181;Chaco;Presidencia de la Plaza;Chaco, Presidencia de la Plaza;0;3;0;1;0
182;Chaco;Quitilipi;Chaco, Quitilipi;0;9;0;3;0
183;Chaco;San Fernando;Chaco, San Fernando;489;2811;5;357;23
184;Chaco;San Lorenzo;Chaco, San Lorenzo;0;1;0;1;0
185;Chaco;Sargento Cabral;Chaco, Sargento Cabral;0;6;0;1;0
186;Chaco;Tapenagá;Chaco, Tapenagá;0;2;0;0;0
187;Chubut;Biedma;Chubut, Biedma;0;55;2;6;0
188;Chubut;Cushamen;Chubut, Cushamen;0;7;0;0;0
189;Chubut;Escalante;Chubut, Escalante;2;51;5;11;0
190;Chubut;Futaleufú;Chubut, Futaleufú;0;16;0;0;0
191;Chubut;Gaiman;Chubut, Gaiman;2;10;1;2;1
192;Chubut;Rawson;Chubut, Rawson;2;65;19;5;0
193;Chubut;Río Senguer;Chubut, Río Senguer;0;3;0;0;0
194;Chubut;Sarmiento;Chubut, Sarmiento;0;6;5;0;0
195;Chubut;Tehuelches;Chubut, Tehuelches;0;1;0;0;0
196;Chubut;Telsen;Chubut, Telsen;0;1;0;0;0
197;Córdoba;Calamuchita;Córdoba, Calamuchita;2;79;22;8;0
198;Córdoba;Capital;Córdoba, Capital;169;4311;200;321;7
199;Córdoba;Colón;Córdoba, Colón;84;735;98;59;10
